"","id","time_int","exact_distance"
"1","TELL_1_6_1",1,165
"2","TELL_1_6_1",7,211
"3","TELL_3_21_3",9,98
"4","KOUG_3_21_3",0,43
"5","KOUG_3_21_3",0,29
"6","KOUG_3_21_4",0,42
"7","KOUG_3_21_4",2,231
"8","KOUG_3_21_4",3,106
"9","KOUG_3_21_4",4,217
"10","KOUG_3_20_5",8,292
"11","COUN_2_15_7",1,188
"12","COUN_2_15_7",2,238
"13","COUN_2_15_7",2,152
"14","KOUG_3_21_7",3,72
"15","KOUG_3_21_7",7,227
"16","TELL_3_21_10",7,181
"17","KOUG_4_21_14",1,375
"18","KOUG_4_21_14",1,375
"19","KOUG_3_20_16",6,157
"20","KOUG_3_20_16",7,30
"21","KOUG_4_21_16",0,200
"22","KOUG_4_21_18",4,250
"23","TELL_3_4_19",1,171
"24","KOUG_4_21_20",0,350
"25","KOUG_4_21_20",2,320
"26","KOUG_4_21_20",2,320
"27","KOUG_4_21_20",7,400
"28","KOUG_4_21_20",9,350
"29","KOUG_4_21_20",9,350
"30","KOUG_4_21_21",7,220
"31","KOUG_4_21_21",9,300
"32","KOUG_4_6_23",0,30
"33","KOUG_4_6_23",0,25
"34","KOUG_4_6_23",0,68
"35","KOUG_4_6_23",2,209
"36","KOUG_4_6_23",3,210
"37","KOUG_4_6_23",3,213
"38","KOUG_4_6_23",5,168
"39","KOUG_4_6_23",5,263
"40","KOUG_4_6_23",9,240
"41","KOUG_4_21_26",1,350
"42","KOUG_4_21_26",3,175
"43","KOUG_K4_T25_12",1,400
"44","KOUG_K4_T25_12",9,350
"45","KOUG_K4_T25_2",7,375
"46","KOUG_K4_T25_18",8,246
"47","KOUG_K4_T25_18",9,187
"48","KOUG_K4_T17_13",4,375
"49","KOUG_K4_T28_17",6,302
"50","KOUG_K4_T28_13",9,200
"51","KOUG_K4_T28_13",9,200
"52","TELL_T4_T14_7",4,101
"53","TELL_T3_T19_18",3,300
"54","TELL_T2_T2_10",7,313
"55","TELL_T2_T2_15",5,133
"56","TELL_T2_T2_26",5,250
"57","KOUG_K2_T26_20",8,350
"58","KOUG_K2_T26_20",9,400
"59","TELL_T2_T14_12",0,215
"60","TELL_T2_T1_11",5,265
"61","TELL_T2_T1_23",0,112
"62","TELL_T2_T1_24",0,270
"63","TELL_T2_T1_22",0,39
"64","TELL_T2_T1_22",0,44
"65","TELL_T2_T1_22",3,135
"66","TELL_T2_T1_22",5,32
"67","TELL_T2_T1_22",6,96
"68","TELL_T2_T1_22",9,121
"69","COUN_C2_T21_14",4,400
"70","TELL_T3_T6_24",9,214
"71","TELL_T3_T6_21",4,138
"72","TELL_T3_T6_18",9,50
"73","TELL_T3_T6_15",6,224
"74","TELL_T3_T6_12",0,128
"75","TELL_T3_T6_12",1,71
"76","TELL_T3_T6_12",1,37
"77","TELL_T3_T6_12",2,44
"78","K4_T16_15",1,325
"79","K4_T16_15",9,311
"80","T2_T1_17",7,247
